Subgroup,Outcome,Model,Type,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7
Medicaid,HDP,GLM,matRRhigh,1.05349327,1.10631181,1.126418207,1.065172368,1.096821314,1.010361252,1.168214889,1.058352649
Medicaid,SMI,GLM,matRRfit,0.747088671,0.900960911,0.847461803,1.129174688,1.282672402,1.136323423,1.215560493,0.56311649
Medicaid,SMI,GLM,matRRlow,0.60602733,0.721011273,0.687995827,0.927672003,1.055927719,0.934856112,0.998581368,0.463660475
Medicaid,SMI,GLM,matRRhigh,0.920984013,1.125822289,1.043889336,1.374446433,1.558107113,1.381208194,1.479686442,0.683906002
Medicaid,PMAD,GLM,matRRfit,0.960132107,1.046368988,0.971336531,1.06275512,0.985485993,0.940828547,1.026875339,0.982181665
Medicaid,PMAD,GLM,matRRlow,0.864990289,0.930330436,0.86675417,0.950633659,0.880978675,0.839147607,0.912702956,0.885168926
Medicaid,PMAD,GLM,matRRhigh,1.065738743,1.176880834,1.088537778,1.188100625,1.102390636,1.054830339,1.155329842,1.089826807
Medicaid,MDP,GLM,matRRfit,0.958718245,1.026680355,0.989689245,0.98918016,1.045774573,0.96283079,0.963530473,1.000295456
Medicaid,MDP,GLM,matRRlow,0.879515266,0.931629127,0.901116094,0.902014973,0.95399554,0.876640891,0.873978761,0.918160794
Medicaid,MDP,GLM,matRRhigh,1.045053689,1.131429365,1.086968492,1.084768455,1.146383197,1.057494737,1.062258049,1.089777527
Medicaid,SUB,GLM,matRRfit,0.943176321,1.039117352,1.045870196,1.000701028,0.993386195,0.950105751,1.048041288,1.014856864
Medicaid,SUB,GLM,matRRlow,0.875091389,0.955763928,0.965091939,0.924378426,0.91765417,0.876306592,0.964112984,0.942884206
Medicaid,SUB,GLM,matRRhigh,1.01655848,1.129740138,1.133409598,1.083325312,1.075368222,1.03011999,1.139275749,1.092323371
Medicaid,SMM,GLM,matRRfit,1.144581152,0.761713762,1.094945586,0.938392421,1.15885089,0.987851743,1.054873468,1.016246125
